# Dataset "150K (-)" exported from GenX on Fri Dec  9 11:04:04 2016
# Column lables:
# x	I_simulated	I	error(I)	error(x)
3.460607632304999598e-02 9.623393228878719739e-05 9.186415999999999766e-05 7.165363000000000500e-06 5.386213908296253686e-04
3.533462727344999915e-02 7.846248166515332775e-05 9.008469999999999488e-05 6.971456999999999955e-06 5.453266911770320068e-04
3.609450399659999698e-02 6.345060912959398424e-05 6.734878000000000674e-05 5.942372000000000134e-06 5.525199503051541347e-04
3.688779140249999478e-02 5.086827557744744632e-05 5.509388000000000317e-05 5.293763999999999889e-06 5.602491646049015091e-04
3.771673076939999897e-02 4.040088984728771915e-05 3.894055000000000107e-05 4.394223000000000635e-06 5.685658716515528451e-04
3.858378229109999530e-02 3.175345951761727499e-05 3.755265000000000035e-05 4.314922999999999548e-06 5.775304285394839907e-04
3.949163550149999841e-02 2.465573567497659566e-05 3.077364000000000239e-05 3.806389999999999821e-06 5.872085132557599207e-04
4.044324054824999931e-02 1.886668522243726138e-05 1.743147000000000202e-05 2.865823000000000158e-06 5.976740996389587291e-04
4.144184989094999716e-02 1.417821513892517905e-05 1.792929999999999790e-05 2.821493999999999841e-06 6.090126581912399303e-04
4.249100787659999823e-02 1.041791731068586474e-05 1.145637999999999957e-05 2.316220999999999893e-06 6.213189987296701897e-04
4.273640578712000621e-02 9.656037378072911985e-06 1.102162758819999907e-05 7.370024000000000191e-07 5.704259598337456339e-04
4.359466540964999220e-02 7.449577480617653300e-06 9.673619999999999718e-06 2.091663999999999664e-06 6.347029995328523286e-04
4.334259322594000152e-02 8.029674618972625492e-06 9.329706651740000484e-06 6.442214000000000303e-07 5.752642830450713490e-04
4.396622974437999765e-02 6.616837314128610466e-06 8.105430843659998445e-06 5.855141999999999954e-07 5.803113101844905274e-04
4.460807040042000238e-02 5.403829501157349935e-06 7.148615816339999270e-06 5.274395999999999950e-07 5.855797095078431281e-04
4.526894265485999908e-02 4.379579805576678533e-06 5.900862250339999637e-06 4.677474999999999736e-07 5.910824808070021122e-04
4.594967396850000579e-02 3.535399355420828364e-06 3.945031323979999058e-06 3.777892000000000064e-07 5.968339188302220410e-04
4.665119523474000468e-02 2.864374599367728263e-06 3.243975917099999413e-06 3.300636000000000148e-07 6.028491259305350167e-04
4.737446837676000111e-02 2.360946052990270772e-06 2.228900259340000025e-06 2.708272000000000046e-07 6.091441023265431205e-04
4.812052772056000377e-02 2.020251943219579113e-06 2.703026707359999800e-06 2.969452999999999664e-07 6.157383477873048204e-04
4.889045930844000687e-02 1.837472103752137206e-06 1.796927534739999785e-06 2.583258000000000221e-07 6.226478539229136520e-04
